source_id	source_type	source_role_in_sample	title	citation_key	citation_ref	citation_rendered	bibtex_file	doi	url	notes
src_du2024	database_or_registry	extraction_source	ClinicalTrials.gov phase-2+ primary randomized registry rows	du2024	@du2024	Du, J., Shi, X (2024). Clinical trials efficacy results dataset (derivative of AACT). Figshare. doi:10.6084/m9.figshare.24225166.	docs/references.bib			Parent/corpus/source-family record inferred from plot_dot_membership.tsv.
work_nct_nct01606124	registry_trial_or_result	represented_source	Percent Change in Rectal ACF, Pre- and Post Intervention at 6 Months							Represented research work/result inferred from plot_dot_membership.tsv. Synthetic dot-level audit citations are kept on source_result rows as generated_result_* fields, not as represented-source bibliographic citations.
src_ying2023pilot	source_family_or_collection	extraction_source	Ying 2023 manual partial reconstruction	ying2023pilot	@ying2023pilot	Ying, Xiangji and Ehrhardt, Stephan (2023). Pilot trials may improve the quality of full-scale trials: a meta-research study. Journal of Clinical Epidemiology. doi:10.1016/j.jclinepi.2023.06.017.	docs/references.bib			Parent/corpus/source-family record inferred from plot_dot_membership.tsv.
work_title_weight_loss_maintenance_weight_regain	paper_like_work	represented_source	Weight-loss maintenance / weight regain							Represented research work/result inferred from plot_dot_membership.tsv. Synthetic dot-level audit citations are kept on source_result rows as generated_result_* fields, not as represented-source bibliographic citations.
src_tyner2026	corpus_or_database	extraction_source	SCORE	tyner2026	@tyner2026	Tyner, Andrew Harold and Abatayo, Anna Lou and Daley, Macie and Field, Samuel and Fox, Nicholas William and Haber, Noah and Hahn, Krystal and Kline Struhl, Melissa and Mawhinney, Brinna and Miske, Olivia and Silverstein, Priya and Soderberg, Courtney K. and Stankov, Theresa and Abbasi, Ahmed and Aberson, Chris and Aczel, Balazs and Adamkovic, Matus and Albayrak, Nihan and Allen, Peter and Andreychik, Michael and Awtrey, Eli C. and Axxe, Erick and Azevedo, Flavio Souza and Bader, Miles and Bago, Bence and Bailey, James and Bakker, Marjan and Baník, Gabriel and Banks, George Christopher and Baskin, Ernest and Behr, Sophie M. and Berente, Nicholas and Berry, Zachariah and Bialkowski, Jedrzej and Bodroža, Bojana and Boeschoten, Laura and Bognar, Miklos and Bokhove, Christian and Bonfiglio, Diane B. V. and Bouwman, Robin B and Brady, Timothy F. and Braithwaite, Scott R. and Jiménez, Gabriel Briceño and Brick, Cameron and Bricka, Traci and Briker, Roman and Brown, Annette Nicole and Brown, Gordon David Alexander and van Aert, Robbie Cornelis Maria and Caldwell, Kathryn and Capitan, Sara and Capitán, Tabaré and Chandler, Jesse J. and Charles, Tessa and Chartier, Christopher R. and Chawdhary, Rahul and Cheng, Kent Jason Go and Chopik, William J. and Clark, Bruce and Colvin, Victoria E. and Comer, Christine Cozette and Costantini, Giulio and Coupe, Tom and Cummins, Jamie and Czernatowicz-Kukuczka, Aneta and de Leeuw, Joshua R and Dobolyi, David and Druckman, James and Duan, Jianhua and Dujmović, Marin and Dunleavy, Daniel J. and Durkee, Patrick and Emery, Cécile and Esterling, Kevin and Evans, Thomas Rhys and Fedor, Anna and Fernández, Belén and Fiala, Nathan and Field, James G. and Fong, Nathan and Fonseca, Miguel and Freeman, Alexandra LJ and Freese, Jeremy and Geiger, Sandra Jeanette and Geng, Jing and Getz, Laura Marie and Geven, Linda and Gleibs, Ilka Helene and Gonzales, Donna Pamella and Gooty, Janaki and Gourdon-Kanhukamwe, Amélie and Greculescu, Cristina and Griffin, Siobhan and Grigoryan, Lusine and Grunow, Martina and Gunby, Nicholas and Hall, Braeden Forrester and Hanel, Paul H. P. and Hannon, Erin and Harper, Sam and Held, Marco Juergen and Hickman, Louis and Higgins, Nathan C. and Hippel, Svenja and Hoeppner, Sven and Hong, Sanghyun and Hostler, Tom and Inzlicht, Michael and Izydorczak, Kamil and Jaeger, Bastian and Jankowsky, Kristin and Jarke-Neuert, Johannes and Jensen, Matthew and Jokic, Biljana and Jolles, Daniel and Jolly, Phillip and Jones, Angela and Juanchich, Marie and Kačmár, Pavol and Kapoor, Hansika and Keljanovic, Andjela and Koirala, Samjhana and Kołczyńska, Marta and Kouroupaki, Dimitra and Kühnen, Ulrich and Landgrave, Michelangelo Geovanny and Larson, Michael J. and Laulié, Lyonel and Lawrence, Alice Charlotte Emily and Le Forestier, Joel Michel and Leahy, Katelin E. and Lee, Sungmok and Leslie, Jared and Lewis, Savannah C. and Limnios, Angelo Christopher and Lin, Hause and Liu, An-Chiao and Lloyd, John Wills and Ludvig, Elliot Andrew and Lynott, Dermot and MacDonald, Jordan and Mallik, Peter Robert and Mallinson, Daniel J. and Marinazzo, Daniele and Martarelli, Corinna and Matacotta, Joshua Jason and McBride, Andrew and McHugh, Cillian and McMillan, Gail and Méndez-Chacón, Esteban and Metzger, Mitchell and Michaelides, Michalis and Michalak, Johannes and Micheli, Leticia and Miller, Jeremy K. and Milyavskaya, Marina and Molden, Daniel C. and Monjaras, Ambar and Moreau, David and Morrow, Audrey and Moya, Cristóbal and Mudrik, Liad and Mulder, Laetitia B. and Munt, Katie A and Nandi, Arijit and Nason, Kathryn and Nast, Carolin and Nave, Gideon and Nax, Heinrich H and Neubauer, Florian and Nguyen, Phuong Linh Le and Nichols, Austin Lee and Nilsonne, Gustav and O'Boyle, Ernest and Oettinghaus, Jule and Oh, Jeewon and Oshana, Adoril and Ostermann, Thomas and Ostrowski, Rachel P. and OYEBANJO, Abiola and Panczak, Radoslaw and Patrianakos, Jamie and Pavez, Ignacio and Pavlov, Yuri and Persson, Sofia and Perugini, Marco and Peters, Kim and Pieters, Constant and Ponizovskiy, Vladimir and Porter, Nathaniel D and Purić, Danka and Purol, Mariah and Puthillam, Arathy and Quinn, Kimberly and Ramljak, Marco and Reed, W. Robert and Ritchie, Michaela and Ritzau, Margaret and Roche, Sean Patrick and Rodela, Romina and Röer, Jan Philipp and Ropovik, Ivan and Rothschild, Jacob and Saal, Justine and Safadi, Hani and Samaha, Jason and Sanchez, Mary and Sankaran, Soorya and Santos, David and Sargent, Amanda and Sauter, Marian and Schmidt, Kathleen and Schnabel, Landon and Schroeder, Amber and Schuetz, Sebastian W and Schulte-Mecklenbeck, Michael and Schütz, Astrid and Sevigny, Eric L. and Shackleton, Ellie and Shafranek, Richard and Shaki, Samuel and Shakya, Shishir and Sirota, Miroslav and Sisco, Matthew Ryan and Sitnikov, Maksim and Slevc, L. Robert and Smalarz, Laura and Smith, Colin and Snyder, Joel S. and Sommet, Nicolas and Sonmez, Fatih and Spellman, Bobbie and Stanulewicz-Buckley, Natalia and Stock, George and Street, Chris N. H. and Strømland, Eirik André and Sundelin, Tina and Syed, Moin and Szabelska, Anna and Szaszi, Barnabas and Szumowska, Ewa and Tagat, Anirudh and Täuber, Susanne and Tay, Louis and Thapa, Stuti and Thatcher, Jason and Tsaklakidou, Domna and Tummers, Lars and Turkovich, Elise and Tutor, Melba and Urbanska, Karolina and van 't Veer, Anna Elisabeth and van Assen, Marcel A. L. M. and van de Ven, Niels and Van den Goorbergh, Ruben and Vargo, Elisabeth Julie and Vaughn, Leigh Ann and Vazire, Simine and Vermeulen, Jentien and Vo, Diem Thi Hong and Volkman, Victor and Wagenmakers, Eric-Jan and Wagner, Deliah and Walasek, Lukasz and Walter, Frank and Warmelink, Lara and Wei, Liuqing and Weißflog, Marie Isabelle and Weller, Nicholas and Wichman, Aaron Lee and Wilbiks, Jonathan and Williams, Jamal Rodgers and Wolfe, Kelly and Wort, Finnian and Wright, Ryan and Wulff, Jesper N. and xue, XINDONG and Yan, Veronica X. and Yang, Yuzhi and Yoon, Sangsuk and Zezelj, Iris and Zhang, Yinxian and Ziano, Ignazio and Zogmaister, Cristina and Zupan, Zorana and Zwaan, Rolf A. and Nosek, Brian A. and Errington, Timothy M. (2026). Investigating the replicability of the social and behavioural sciences. Center for Open Science. doi:10.31222/osf.io/b7x8f_v1.	docs/references.bib			Parent/corpus/source-family record inferred from plot_dot_membership.tsv.
work_title_shoppers_acceptance_and_perceptions_of_electronic_shelf_labels	paper_like_work	represented_source	Shoppers' Acceptance And Perceptions Of Electronic Shelf Labels							Represented research work/result inferred from plot_dot_membership.tsv. Synthetic dot-level audit citations are kept on source_result rows as generated_result_* fields, not as represented-source bibliographic citations.
src_bosco2020metabus	source_family_or_collection	extraction_source	metaBUS open Bosco subset	bosco2020metabus	@bosco2020metabus	Bosco, Frank A. and Field, James G. and Larsen, Kai R. and Chang, Yingyi and Uggerslev, Krista L. (2019). Advancing Meta-Analysis With Knowledge-Management Platforms: Using metaBUS in Psychology. Advances in Methods and Practices in Psychological Science. doi:10.1177/2515245919882693.	docs/references.bib			Parent/corpus/source-family record inferred from plot_dot_membership.tsv.
work_title_jap_79_5_691	paper_like_work	represented_source	JAP-79-5-691							Represented research work/result inferred from plot_dot_membership.tsv. Synthetic dot-level audit citations are kept on source_result rows as generated_result_* fields, not as represented-source bibliographic citations.
work_nct_nct00373113	registry_trial_or_result	represented_source	Progression-Free Survival (PFS)							Represented research work/result inferred from plot_dot_membership.tsv. Synthetic dot-level audit citations are kept on source_result rows as generated_result_* fields, not as represented-source bibliographic citations.
work_nct_nct00676650	registry_trial_or_result	represented_source	Overall Survival (OS)							Represented research work/result inferred from plot_dot_membership.tsv. Synthetic dot-level audit citations are kept on source_result rows as generated_result_* fields, not as represented-source bibliographic citations.
